RegionType,Region,Week started,N only,OR only,S only,OR+N,OR+S,N+S,OR+N+S,Mean,10th Percentile,25th Percentile,50th Percentile,75th Percentile,90th Percentile
Country,Scotland,26 October 2020,5,0,0,9,0,0,86,25.5,16.5,23.5,26.5,29.9,32.6
Country,Scotland,2 November 2020,17,6,0,6,0,0,72,26.8,15.2,22.2,28.8,33.2,35.0
Country,Scotland,9 November 2020,29,0,0,3,0,0,68,27.1,16.2,23.0,29.7,32.8,33.8
Country,Scotland,16 November 2020,9,13,0,7,2,2,67,29.2,21.3,24.8,31.3,32.9,34.1
Country,Scotland,23 November 2020,8,26,0,6,2,2,56,27.5,17.3,20.9,31.5,33.7,34.4
Country,Scotland,30 November 2020,9,23,0,7,0,0,60,28.9,18.2,25.0,31.7,33.6,34.4
Country,Scotland,7 December 2020,25,5,0,7,8,1,53,28.7,17.5,22.4,31.4,34.2,34.9
Country,Scotland,14 December 2020,19,10,0,36,0,0,34,29.4,22.0,27.2,31.2,32.9,34.9
Country,Scotland,21 December 2020,24,8,0,26,0,3,39,27.4,15.4,20.6,30.7,33.3,34.7
Country,Scotland,28 December 2020,16,15,0,24,0,1,43,28.5,15.7,19.8,32.0,33.6,35.0
Country,Scotland,4 January 2021,24,11,0,41,1,0,23,29.6,21.8,28.6,31.6,33.3,34.3
Country,Scotland,11 January 2021,11,27,0,41,0,1,20,30.0,18.5,28.1,32.8,34.3,34.7
Country,Scotland,18 January 2021,16,32,0,31,2,1,18,30.6,20.9,29.0,32.7,34.5,35.1
Country,Scotland,25 January 2021,22,13,0,45,0,0,20,28.7,16.6,25.8,32.0,33.5,34.3
Country,Scotland,1 February 2021,23,7,0,48,1,1,20,28.4,16.8,23.6,31.2,33.8,34.4
Country,Scotland,8 February 2021,26,8,0,62,0,0,4,29.4,19.7,26.9,32.3,34.0,35.1
Country,Scotland,15 February 2021,26,13,0,50,0,0,11,30.4,23.8,28.2,32.0,33.5,34.4
Country,Scotland,22 February 2021,37,0,0,63,0,0,0,28.8,16.0,22.1,32.5,34.0,35.1
EnglandRegion,North East,21 September 2020,3,3,0,3,0,0,90,23.1,15.0,19.4,23.9,26.7,30.8
EnglandRegion,North East,28 September 2020,4,0,0,8,0,0,88,21.6,14.2,17.2,21.0,26.4,29.6
EnglandRegion,North East,5 October 2020,8,0,0,6,0,0,86,22.8,15.8,17.2,22.4,27.4,31.2
EnglandRegion,North East,12 October 2020,15,1,0,0,3,0,81,25.8,17.1,21.4,26.5,31.6,33.0
EnglandRegion,North East,19 October 2020,19,9,0,1,1,1,69,26.9,16.2,21.2,29.2,32.3,34.2
EnglandRegion,North East,26 October 2020,8,3,0,2,6,6,74,26.5,17.1,21.6,28.0,32.3,33.3
